Order Type,Row Count,Organization,Order Number,Status,Shipping Type,Created At,In Fulfillment Date,Serial Number,Missing Charger?,Recipient Country,Tracking Number,Order Item Number,Asset Number,Depot Vendor,Items,Shipped Date,In Return Date,Pending Return Date,Completed Date
Deployment,163,Vercel,96267-1-VERC,COMPLETE,Standard,11/05/2025,11/05/2025,N2YTXPWFW0,Missing Charger,United States,395074283355,96267-1-1-VERC,29768,ZONES,1,2025-11-07 09:41:17,,,2025-11-07 14:41:36
Deployment,163,Vercel,96266-1-VERC,SHIPPED,Standard,11/05/2025,11/05/2025,CF1QKFJQ7L,,United States,395032383660,96266-1-1-VERC,99399,ZONES,1,2025-11-06 09:40:22,,,
Deployment,163,IZEA,96237-1-IZEA,COMPLETE,Overnight,11/05/2025,11/05/2025,FVFJK0X21WGC,Missing Charger,United States,395075285034,96237-1-1-IZEA,48357,ZONES,1,2025-11-07 09:39:32,,,2025-11-07 14:40:34
Deployment,163,Spark,96226-1-SPAR,COMPLETE,2 Day,11/05/2025,11/05/2025,LC7GDH62WN,,United States,395032262350,96226-1-1-SPAR,36945,ZONES,1,2025-11-06 09:44:17,,,2025-11-07 10:44:52
Deployment,163,Measurabl,96053-1-MEAS,SHIPPED,Standard,11/05/2025,11/05/2025,D333CW096H,,United States,395030326959,96053-1-1-MEAS,38669,ZONES,1,2025-11-05 23:32:18,,,
Deployment,163,Horizon3.ai,96161-1-HORI,SHIPPED,Standard,11/05/2025,11/05/2025,F9L1427C4L,,United States,395030242871,96161-1-1-HORI,83516,ZONES,1,2025-11-05 23:29:17,,,
Deployment,163,Bloom Credit,96130-1-BLOO,COMPLETE,Standard,11/05/2025,11/05/2025,J0CWFQJF39,,United States,395030378051,96130-1-1-BLOO,58171,ZONES,1,2025-11-05 23:27:19,,,2025-11-07 10:39:56
Deployment,163,Socotra,96113-1-SOCO,COMPLETE,2 Day,11/05/2025,11/05/2025,JG96GCF4X2,,United States,395032528559,96113-1-1-SOCO,49299,ZONES,1,2025-11-06 09:42:17,,,2025-11-07 12:44:45
Deployment,163,Consensys,96042-1-CONS,COMPLETE,Standard,11/05/2025,11/05/2025,R28M108Z1SF,,United States,395030844892,96042-1-1-CONS,56890,ZONES,1,2025-11-06 02:29:25,,,2025-11-07 12:43:09
Deployment,163,Muck Rack,95928-1-MUCK,SHIPPED,Standard,11/04/2025,11/04/2025,GX1Y53F063,,United States,394988599725,95928-1-1-MUCK,96788,ZONES,1,2025-11-05 02:30:25,,,
Deployment,163,Lumivero,95915-1-LUMI,COMPLETE,Standard,11/04/2025,11/04/2025,CWCXJKV424,,United States,394988519132,95915-1-1-LUMI,78281,ZONES,1,2025-11-05 02:32:23,,,2025-11-08 16:47:36
Deployment,163,Unstructured,95870-1-UNST,SHIPPED,Standard,11/04/2025,11/04/2025,M7XMMFHN77,,United States,394988557740,95870-1-1-UNST,92879,ZONES,1,2025-11-05 02:31:21,,,
Deployment,163,Kneat,95817-1-KNEA,COMPLETE,Overnight,11/04/2025,11/04/2025,CP479K3,,United States,394988482668,95817-1-1-KNEA,53497,ZONES,1,2025-11-04 23:31:19,,,2025-11-05 11:31:34
Deployment,163,Salesloft,95814-1-SALE,COMPLETE,Standard,11/04/2025,11/04/2025,G29TM65676,,United States,394988974457,95814-1-1-SALE,191897,ZONES,1,2025-11-05 02:31:19,,,2025-11-07 18:35:46
Deployment,163,Check,95746-1-CHEC,SHIPPED,Standard,11/03/2025,11/03/2025,F9V2794,,United States,394988315911,95746-1-1-CHEC,93220,ZONES,1,2025-11-05 02:31:19,,,
Deployment,163,Homebot,92908-1-HOME,COMPLETE,Standard,10/17/2025,11/03/2025,HXDWJ3Y0RQ,Missing Charger,United States,394989087356,92908-1-1-HOME,79806,ZONES,1,2025-11-05 02:30:25,,,
Deployment,163,Upwind Security,95735-1-UPWI,SHIPPED,Standard,11/03/2025,11/03/2025,CDGX9T6XRQ,,United States,394988449989,95735-1-1-UPWI,95814,ZONES,1,2025-11-05 02:30:22,,,
Deployment,163,Valiantys,95677-1-VALI,COMPLETE,Standard,11/03/2025,11/03/2025,JY9JRV7PNF,,United States,394988413245,95677-1-1-VALI,51072,ZONES,1,2025-11-05 02:30:24,,,2025-11-06 15:33:53
Deployment,163,petvisor,95591-1-PETV,COMPLETE,Overnight,11/03/2025,11/03/2025,G3F4MY7LK9,,United States,394943126366,95591-1-1-PETV,102407,ZONES,1,2025-11-03 20:29:16,,,2025-11-05 14:36:40
Deployment,163,Qualio,95501-1-QUAL,COMPLETE,Standard,11/03/2025,11/03/2025,F6GP2N263V,Missing Charger,United States,394989023035,95501-1-1-QUAL,59187,ZONES,1,2025-11-05 02:33:31,,,2025-11-06 14:37:48
Deployment,163,Salesloft,95497-1-SALE,COMPLETE,Standard,11/03/2025,11/03/2025,DW7LLP9FHF,,United States,394943536405,95497-1-1-SALE,191896,ZONES,1,2025-11-03 23:32:18,,,2025-11-05 10:34:48
Deployment,163,Salesloft,95496-1-SALE,COMPLETE,Standard,11/03/2025,11/03/2025,MHQL09K751,,United States,394943575159,95496-1-1-SALE,191895,ZONES,1,2025-11-03 23:29:19,,,2025-11-05 14:30:37
Deployment,163,Vanta,95471-1-VANT,COMPLETE,Standard,11/01/2025,11/01/2025,J67CKXCP71,,United States,394943288025,95471-1-1-VANT,31568,ZONES,1,2025-11-03 23:30:22,,,2025-11-07 15:41:18
Deployment,163,Annexus Health,94832-1-ANNE,COMPLETE,Standard,10/29/2025,11/01/2025,FDY8194,,United States,394943494449,94832-1-1-ANNE,95845,ZONES,1,2025-11-03 23:29:18,,,2025-11-05 16:30:14
Deployment,163,Pomelo Care,95440-1-POME,COMPLETE,2 Day,10/31/2025,10/31/2025,L579YJWM14,,United States,394943238270,95440-1-1-POME,46190,ZONES,1,2025-11-03 20:29:17,,,2025-11-05 12:31:08
Deployment,163,Unstructured,95432-1-UNST,CANCELED,2 Day,10/31/2025,10/31/2025,M7XMMFHN77,,United States,,95432-1-1-UNST,92879,ZONES,1,,,,
Deployment,163,Divurgent,95425-1-DIVU,COMPLETE,2 Day,10/31/2025,10/31/2025,3633614557,,United States,394943186203,95425-1-1-DIVU,81067,ZONES,1,2025-11-03 20:30:18,,,2025-11-05 19:31:27
Deployment,163,BrowserStack,94953-1-BROW,COMPLETE,Standard,10/30/2025,10/31/2025,FVFGG2MQQ05N,,United States,394868736397,94953-1-1-BROW,48040,ZONES,1,2025-11-01 02:24:19,,,2025-11-02 12:24:53
Deployment,163,Gradle,95091-1-GRAD,COMPLETE,Standard,10/30/2025,10/31/2025,JM4DGWGMGH,Missing Charger,United States,394868695989,95091-1-1-GRAD,39238,ZONES,1,2025-11-01 02:24:21,,,2025-11-05 15:29:31
Deployment,163,MANTL,95323-1-MANT,COMPLETE,2 Day,10/31/2025,10/31/2025,JWT0W2JMY9,,United States,394868790773,95323-1-1-MANT,37176,ZONES,1,2025-10-31 23:23:20,,,2025-11-04 14:27:43
Deployment,163,petvisor,95280-1-PETV,COMPLETE,Standard,10/31/2025,10/31/2025,PF5FN2RN,,United States,394868585140,95280-1-1-PETV,71736,ZONES,1,2025-11-01 02:24:24,,,2025-11-02 16:40:11
Deployment,163,Jump,94809-1-JUMP,COMPLETE,2 Day,10/29/2025,10/31/2025,M36FL2HXK1,,United States,394868521701,94809-1-1-JUMP,49662,ZONES,1,2025-10-31 23:23:18,,,2025-11-03 16:24:29
Deployment,163,Branch Insurance,95223-1-BRAN,COMPLETE,Standard,10/31/2025,10/31/2025,40ZM4C4,,United States,394858855729,95223-1-1-BRAN,110262,ZONES,1,2025-10-31 19:14:16,,,2025-11-04 12:20:32
Deployment,163,supabase,95207-1-SUPA,CANCELED,Standard,10/31/2025,10/31/2025,F2VX349H24,Missing Charger,Brazil,,95207-1-1-SUPA,83206,ZONES,1,,,,
Deployment,163,Unstructured,95188-1-UNST,COMPLETE,2 Day,10/30/2025,10/30/2025,Y5W0MFVTXT,,United States,394858954910,95188-1-1-UNST,50640,ZONES,1,2025-10-31 20:09:16,,,2025-11-04 13:13:14
Deployment,163,Unstructured,95187-1-UNST,COMPLETE,2 Day,10/30/2025,10/30/2025,L0QK3W3Q5L,,United States,394859058402,95187-1-1-UNST,97030,ZONES,1,2025-10-31 20:09:16,,,2025-11-02 16:09:57
Deployment,163,Unstructured,95186-1-UNST,COMPLETE,2 Day,10/30/2025,10/30/2025,HX9MM4TJM6,,United States,394859159044,95186-1-1-UNST,59505,ZONES,1,2025-10-31 21:28:14,,,2025-11-01 15:28:31
Deployment,163,DroneDeploy,95185-1-DRON,COMPLETE,Overnight,10/30/2025,10/30/2025,XJD2RWM75L,,United States,394943440243,95185-1-1-DRON,15929,ZONES,1,2025-11-03 23:30:19,,,2025-11-04 19:30:50
Deployment,163,DroneDeploy,95182-1-DRON,COMPLETE,Overnight,10/30/2025,10/30/2025,0B33KGC24343GP,,United States,394858634953,95182-1-1-DRON,54155,ZONES,1,2025-10-31 19:14:18,,,2025-11-03 13:15:55
Deployment,163,Unstructured,95134-1-UNST,COMPLETE,Standard,10/30/2025,10/30/2025,FK7R004NQC,Missing Charger,United States,394832408104,95134-1-1-UNST,60110,ZONES,1,2025-10-31 02:23:14,,,2025-10-31 14:23:38
Deployment,163,ActiveFence,95130-1-ACTI,COMPLETE,Standard,10/30/2025,10/30/2025,HXJLM00R1WG7,,United States,394832440298,95130-1-1-ACTI,78938,ZONES,1,2025-10-31 02:22:16,,,2025-11-02 13:23:23
Deployment,163,BrowserStack,95042-1-BROW,COMPLETE,Overnight,10/30/2025,10/30/2025,C02FM4L8Q05P,,United States,394858739042,95042-1-1-BROW,20155,ZONES,1,2025-10-31 19:14:18,,,2025-11-01 11:14:35
Deployment,163,PayNearMe,95063-1-PAYN,COMPLETE,Standard,10/30/2025,10/30/2025,DG9LYCF4D7,,United States,394830463583,95063-1-1-PAYN,69959,ZONES,1,2025-10-30 23:10:19,,,2025-11-01 11:11:09
Deployment,163,Ironclad,95052-1-IRON,COMPLETE,Standard,10/30/2025,10/30/2025,DXH63N44DL,,United States,394826377378,95052-1-1-IRON,55452,ZONES,1,2025-10-30 23:09:19,,,2025-10-31 15:09:51
Deployment,163,Simulations Plus,94523-1-SIMU,COMPLETE,2 Day,10/28/2025,10/30/2025,F0Z9FB4,,United States,394825800661,94523-1-1-SIMU,83025,ZONES,1,2025-10-30 20:11:16,,,2025-11-03 16:13:07
Deployment,163,Nulogy,94967-1-NULO,COMPLETE,Standard,10/30/2025,10/30/2025,GF7HM6HGWC,,Canada,445943506201,94967-1-1-NULO,96544,ZONES,1,2025-10-30 23:13:22,,,2025-11-01 14:14:13
Deployment,163,Ironclad,94972-1-IRON,COMPLETE,Overnight,10/30/2025,10/30/2025,PF4RAG93,,United States,394824334122,94972-1-1-IRON,93184,ZONES,1,2025-10-30 20:10:18,,,2025-10-31 14:10:37
Deployment,163,Franki,94944-1-FRAN,COMPLETE,2 Day,10/30/2025,10/30/2025,CWN4NKVNTQ,,United States,394824184132,94944-1-1-FRAN,47996,ZONES,1,2025-10-30 20:11:16,,,2025-11-03 13:12:53
Deployment,163,Salesloft,94923-1-SALE,COMPLETE,Overnight,10/29/2025,10/29/2025,GJ4L59KF99,,United States,394829031767,94923-1-1-SALE,255781,ZONES,1,2025-10-30 20:13:15,,,2025-10-31 13:13:46
Deployment,163,Ironclad,94615-1-IRON,COMPLETE,Standard,10/28/2025,10/29/2025,RJ7LY66G2C,,United States,394827433253,94615-1-1-IRON,55453,ZONES,1,2025-10-30 23:13:22,,,2025-11-01 15:14:16
Deployment,163,Annexus Health,94826-1-ANNE,COMPLETE,Standard,10/29/2025,10/29/2025,B7Y8194,,United States,394826287928,94826-1-1-ANNE,95850,ZONES,1,2025-10-30 23:09:23,,,2025-11-01 14:10:18
Deployment,163,Annexus Health,94825-1-ANNE,COMPLETE,Standard,10/29/2025,10/29/2025,96Y8194,,United States,394829951899,94825-1-1-ANNE,95852,ZONES,1,2025-10-30 23:14:17,,,2025-11-01 10:15:00
Deployment,163,Annexus Health,94830-1-ANNE,COMPLETE,Standard,10/29/2025,10/29/2025,G7N8194,,United States,394826664940,94830-1-1-ANNE,95847,ZONES,1,2025-10-30 23:11:16,,,2025-11-01 12:12:07
Deployment,163,Annexus Health,94827-1-ANNE,COMPLETE,Standard,10/29/2025,10/29/2025,17Y8194,,United States,394827510884,94827-1-1-ANNE,95849,ZONES,1,2025-10-30 23:13:22,,,2025-11-01 14:14:10
Deployment,163,Annexus Health,94831-1-ANNE,COMPLETE,Standard,10/29/2025,10/29/2025,CMCJF64,,United States,394826213694,94831-1-1-ANNE,95846,ZONES,1,2025-10-30 23:09:18,,,2025-11-01 17:10:08
Deployment,163,Postscript,94823-1-POST,COMPLETE,Overnight,10/29/2025,10/29/2025,M49LXV59FR,,United States,394826129278,94823-1-1-POST,100932,ZONES,1,2025-10-30 20:09:18,,,2025-10-31 16:09:58
Deployment,163,"Eden Health International, Inc.",94796-1-EDEN,COMPLETE,Overnight,10/29/2025,10/29/2025,J29CV97T3D,,United States,394826014445,94796-1-1-EDEN,90074,ZONES,1,2025-10-30 20:10:19,,,2025-10-31 15:10:58
Deployment,163,Horizon3.ai,94812-1-HORI,COMPLETE,Standard,10/29/2025,10/29/2025,LC46WYWWJH,,United States,394826819162,94812-1-1-HORI,251315,ZONES,1,2025-10-30 23:10:18,,,2025-11-03 09:11:59
Deployment,163,"HighLevel, Inc.",94720-1-HIGH,COMPLETE,2 Day,10/29/2025,10/29/2025,GT2MW4QCR9,,United States,394824051068,94720-1-1-HIGH,110506,ZONES,1,2025-10-30 20:10:17,,,2025-11-03 12:12:18
Deployment,163,Ironclad,94621-1-IRON,COMPLETE,Standard,10/28/2025,10/29/2025,H16LXXQ016,Missing Charger,United States,394827282061,94621-1-1-IRON,103152,ZONES,1,2025-10-30 23:09:24,,,2025-11-02 11:10:17
Deployment,163,Ironclad,94624-1-IRON,COMPLETE,Standard,10/28/2025,10/29/2025,FVFF55VZQ05F,Missing Charger,United States,394790325218,94624-1-1-IRON,50767,ZONES,1,2025-10-30 10:33:17,,,2025-10-31 17:34:11
Deployment,163,petvisor,94688-1-PETV,COMPLETE,2 Day,10/29/2025,10/29/2025,MJ0HELH3,,United States,394790116126,94688-1-1-PETV,31369,ZONES,1,2025-10-30 11:00:24,,,2025-10-31 16:01:21
Deployment,163,Simulations Plus,94575-1-SIMU,COMPLETE,Standard,10/28/2025,10/29/2025,6LVZ674,,United States,394790181624,94575-1-1-SIMU,71715,ZONES,1,2025-10-29 22:29:16,,,2025-10-31 12:30:02
Deployment,163,Gradle,94548-1-GRAD,COMPLETE,Standard,10/28/2025,10/28/2025,K9NDJ3VY27,,United States,394790044329,94548-1-1-GRAD,39246,ZONES,1,2025-10-29 22:28:18,,,2025-10-31 11:29:02
Deployment,163,Ironclad,94620-1-IRON,COMPLETE,Standard,10/28/2025,10/28/2025,T441HHQYDP,Missing Charger,United States,394765926390,94620-1-1-IRON,103260,ZONES,1,2025-10-29 19:28:14,,,2025-10-30 13:28:47
Deployment,163,Gradle,94549-1-GRAD,COMPLETE,Standard,10/28/2025,10/28/2025,P39V36PVVY,,United States,394766655810,94549-1-1-GRAD,39267,ZONES,1,2025-10-29 19:27:18,,,2025-10-31 13:28:14
Deployment,163,Branch,94640-1-BRAN,COMPLETE,2 Day,10/28/2025,10/28/2025,KDXQ1YY74R,Missing Charger,United States,394766856032,94640-1-1-BRAN,25700,ZONES,1,2025-10-29 15:37:14,,,2025-10-31 12:37:59
Deployment,163,Ironclad,94627-1-IRON,COMPLETE,Standard,10/28/2025,10/28/2025,PF54QGCE,,United States,394765547434,94627-1-1-IRON,51864,ZONES,1,2025-10-29 19:27:16,,,2025-11-04 15:36:24
Deployment,163,Branch,94639-1-BRAN,COMPLETE,2 Day,10/28/2025,10/28/2025,KDGHM299FR,,United States,394767166670,94639-1-1-BRAN,25705,ZONES,1,2025-10-29 15:37:16,,,2025-10-31 09:37:51
Deployment,163,Ironclad,94623-1-IRON,COMPLETE,Standard,10/28/2025,10/28/2025,RV24D4QNJQ,,United States,394766914381,94623-1-1-IRON,6926,ZONES,1,2025-10-29 19:28:16,,,2025-11-02 16:29:55
Deployment,163,Branch,94626-1-BRAN,SHIPPED,2 Day,10/28/2025,10/28/2025,L1797Y2JYQ,,United States,394766473181,94626-1-1-BRAN,71692,ZONES,1,2025-10-29 15:37:16,,,
Deployment,163,Ironclad,94622-1-IRON,COMPLETE,Standard,10/28/2025,10/28/2025,HR75PW4X26,,United States,394766447151,94622-1-1-IRON,73213,ZONES,1,2025-10-29 19:27:15,,,2025-11-04 15:31:50
Deployment,163,Horizon3.ai,94617-1-HORI,COMPLETE,Overnight,10/28/2025,10/28/2025,G477L6MHJK,,United States,394766635988,94617-1-1-HORI,91484,ZONES,1,2025-10-29 15:38:27,,,2025-10-30 13:38:57
Deployment,163,Render,94552-1-REND,COMPLETE,Overnight,10/28/2025,10/28/2025,FYRQWNH72H,,United States,394767010642,94552-1-1-REND,251701,ZONES,1,2025-10-29 15:38:17,,,2025-10-30 15:38:37
Deployment,163,Clutch,94546-1-CLUT,COMPLETE,Overnight,10/28/2025,10/28/2025,GN744D0JK2,,United States,394743943240,94546-1-1-CLUT,79509,ZONES,1,2025-10-28 20:51:18,,,2025-10-29 12:51:35
Deployment,163,go1,94538-1-GO1,COMPLETE,Overnight,10/28/2025,10/28/2025,DNFHV7CWPP,,United States,394744061219,94538-1-1-GO1,99538,ZONES,1,2025-10-28 20:46:14,,,2025-10-29 14:46:33
Deployment,163,Vercel,94517-1-VERC,COMPLETE,Standard,10/28/2025,10/28/2025,KJXG7FVWCY,,United States,394743832928,94517-1-1-VERC,100635,ZONES,1,2025-10-28 23:51:21,,,2025-11-02 16:53:04
Deployment,163,Quickbase,94431-1-QUIC,COMPLETE,2 Day,10/28/2025,10/28/2025,1QVKSW3,,United States,394732989072,94431-1-1-QUIC,96241,ZONES,1,2025-10-28 19:09:17,,,2025-10-30 15:10:15
Deployment,163,Vercel,94374-1-VERC,COMPLETE,2 Day,10/27/2025,10/27/2025,JN374WYR7F,,United States,394703900233,94374-1-1-VERC,41069,ZONES,1,2025-10-27 19:44:16,,,2025-10-29 17:45:29
Deployment,163,Horizon3.ai,94313-1-HORI,COMPLETE,Standard,10/27/2025,10/27/2025,DG269L5273,,United States,394725039439,94313-1-1-HORI,251317,ZONES,1,2025-10-28 20:51:18,,,2025-10-30 17:52:26
Deployment,163,Clutch,94308-1-CLUT,COMPLETE,,10/27/2025,10/27/2025,J49HXH2YWT,,United States,394724777410,94308-1-1-CLUT,106866,ZONES,1,2025-10-28 20:50:14,,,2025-10-30 09:50:55
Deployment,163,Genomenon,94149-1-GENO,COMPLETE,Standard,10/27/2025,10/27/2025,H9JW2T406N,,United States,394724911630,94149-1-1-GENO,57673,ZONES,1,2025-10-28 20:50:17,,,2025-11-03 14:52:31
Deployment,163,Clutch,94303-1-CLUT,COMPLETE,Standard,10/27/2025,10/27/2025,L5459D2N4T,,United States,394702828189,94303-1-1-CLUT,91966,ZONES,1,2025-10-27 22:42:20,,,2025-10-31 17:44:01
Deployment,163,Clutch,94300-1-CLUT,COMPLETE,Overnight,10/27/2025,10/27/2025,FVDHCGX0LC,,United States,394702991702,94300-1-1-CLUT,74868,ZONES,1,2025-10-27 19:42:17,,,2025-10-28 13:42:45
Deployment,163,Clutch,94295-1-CLUT,COMPLETE,Overnight,10/27/2025,10/27/2025,LNKC96H762,,United States,394702911999,94295-1-1-CLUT,79505,ZONES,1,2025-10-27 19:42:18,,,2025-10-28 13:42:44
Deployment,163,Clutch,94292-1-CLUT,COMPLETE,Overnight,10/27/2025,10/27/2025,D542VQ0G26,,United States,394703088719,94292-1-1-CLUT,74865,ZONES,1,2025-10-27 19:42:17,,,2025-10-28 13:42:39
Deployment,163,Catena Media,94230-1-CATE,COMPLETE,Standard,10/27/2025,10/27/2025,FG2K7YG30D,,United States,394696262969,94230-1-1-CATE,80243,ZONES,1,2025-10-27 19:42:22,,,2025-10-29 17:43:40
Deployment,163,Goodway Group,94132-1-GOOD,COMPLETE,Standard,10/27/2025,10/27/2025,FL4CG4MP9G,,United States,394695565764,94132-1-1-GOOD,42606,ZONES,1,2025-10-27 19:33:23,,,2025-10-28 12:34:05
Deployment,163,Salesloft,93881-1-SALE,COMPLETE,2 Day,10/24/2025,10/26/2025,L72M32H7M3,,United States,394695323394,93881-1-1-SALE,191893,ZONES,1,2025-10-27 19:32:14,,,2025-10-29 13:33:15
Deployment,163,Salesloft,94102-1-SALE,COMPLETE,Overnight,10/25/2025,10/25/2025,LL676FC69J,,United States,394685955465,94102-1-1-SALE,191894,ZONES,1,2025-10-27 19:11:17,,,2025-10-28 12:11:38
Deployment,163,Ollie,94069-1-OLLI,COMPLETE,Standard,10/24/2025,10/24/2025,H4W9WPF0YY,,United States,394666991803,94069-1-1-OLLI,57922,ZONES,1,2025-10-27 22:59:17,,,2025-10-29 13:00:04
Deployment,163,Ollie,94071-1-OLLI,COMPLETE,Standard,10/24/2025,10/24/2025,C17DQ1M6Q6L4,,United States,394666082458,94071-1-1-OLLI,97969,ZONES,1,2025-10-27 22:59:15,,,2025-10-31 20:01:07
Deployment,163,Orion First,94035-1-ORIO,COMPLETE,2 Day,10/24/2025,10/24/2025,PF4KJ2J4,,United States,394627922688,94035-1-1-ORIO,71379,ZONES,1,2025-10-27 11:45:18,,,2025-10-27 16:45:32
Deployment,163,Branch,93991-1-BRAN,COMPLETE,2 Day,10/24/2025,10/24/2025,FKQPNQG204,,United States,394628897289,93991-1-1-BRAN,48346,ZONES,1,2025-10-25 02:30:18,,,2025-10-28 13:31:47
Deployment,163,Branch,93980-1-BRAN,COMPLETE,2 Day,10/24/2025,10/24/2025,M5FV73D7YP,Missing Charger,United States,394627838423,93980-1-1-BRAN,127903,ZONES,1,2025-10-25 02:29:16,,,2025-10-26 17:29:55
Deployment,163,Clutch,93973-1-CLUT,COMPLETE,Overnight,10/24/2025,10/24/2025,M5QHCD7WP2,,United States,394628533978,93973-1-1-CLUT,108346,ZONES,1,2025-10-25 02:28:15,,,2025-10-27 12:29:19
